canonical_name,canonical_is_yoe_enterprise,candidate_name,candidate_id,candidate_type,candidate_mention_count,jw_score,type_match,recommendation,status
Climate First Bank,no,climate skeptics,climate skeptics,CONCEPT,1,0.867,no,type-mismatch,
Climate First Bank,no,Climate Decision Making,Climate Decision Making,CONCEPT,1,0.863,no,type-mismatch,
Climate First Bank,no,climate crisis,climate crisis,CONCEPT,7,0.861,no,type-mismatch,
Climate First Bank,no,Climate Crisis,Climate Crisis,CONCEPT,6,0.861,no,type-mismatch,
Climate First Bank,no,climate summit,climate summit,EVENT,2,0.861,no,type-mismatch,
Climate First Bank,no,Climate Summit,Climate Summit,EVENT,1,0.861,no,type-mismatch,
Climate First Bank,no,climate stabilization,climate stabilization,CONCEPT,2,0.860,no,type-mismatch,
Climate First Bank,no,Climate Stabilization,Climate Stabilization,CONCEPT,3,0.860,no,type-mismatch,
Climate First Bank,no,climate harm,climate harm,CONCEPT,1,0.858,no,type-mismatch,
Climate First Bank,no,climate solutions,climate solutions,CONCEPT,1,0.858,no,type-mismatch,
Climate First Bank,no,climate strike movement,climate strike movement,CONCEPT,1,0.857,no,type-mismatch,
Climate First Bank,no,climate change,climate change,CONCEPT,19,0.854,no,type-mismatch,
Climate First Bank,no,Climate Change,Climate Change,CONCEPT,18,0.854,no,type-mismatch,
Climate First Bank,no,climate heroes,climate heroes,CONCEPT,1,0.854,no,type-mismatch,
Climate First Bank,no,Climate change,Climate change,CONCEPT,1,0.854,no,type-mismatch,
Climate First Bank,no,Climate Shocks,Climate Shocks,CONCEPT,1,0.854,no,type-mismatch,
Climate First Bank,no,climate action plans,climate action plans,CONCEPT,1,0.853,no,type-mismatch,
Climate First Bank,no,climate justice,climate justice,CONCEPT,1,0.851,no,type-mismatch,
Climate First Bank,no,Climate Marches,Climate Marches,EVENT,1,0.851,no,type-mismatch,
Climate First Bank,no,Climate Resilience,Climate Resilience,CONCEPT,1,0.850,no,type-mismatch,
Climate First Bank,no,Climatic changes,Climatic changes,CONCEPT,1,0.850,no,type-mismatch,
Climate First Bank,no,climate lobbyist,climate lobbyist,PRACTICE,1,0.850,no,type-mismatch,
Climate First Bank,no,Climate Week,Climate Week,EVENT,2,0.850,no,type-mismatch,
Dr. Bronner's,no,Dr. Bronner's,Dr. Bronner's,ORGANIZATION,28,1.000,yes,auto-flag,accept
Dr. Bronner's,no,Dr. Bronners,Dr. Bronners,ORGANIZATION,18,0.985,yes,auto-flag,
Dr. Bronner's,no,Dr. Broner's,Dr. Broner's,ORGANIZATION,1,0.985,yes,auto-flag,
Dr. Bronner's,no,Dr. Bronner’s,Dr. Bronner’s,ORGANIZATION,12,0.969,yes,auto-flag,
Dr. Bronner's,no,Dr. Bronner,Dr. Bronner,PERSON,6,0.969,no,type-mismatch,
Dr. Bronner's,no,Dr. Bronner Soap,Dr. Bronner Soap,PRODUCT,1,0.935,yes,auto-flag,
Dr. Bronner's,no,Dr. Bonners,Dr. Bonners,ORGANIZATION,1,0.933,yes,auto-flag,
Dr. Bronner's,no,Dr. Bron,Dr. Bron,ORGANIZATION,1,0.923,yes,auto-flag,
Dr. Bronner's,no,Dr. Bronis,Dr. Bronis,PERSON,1,0.918,no,type-mismatch,
Dr. Bronner's,no,Dr. Brown,Dr. Brown,PERSON,1,0.901,no,type-mismatch,
Dr. Bronner's,no,Dr. Bronner's Magic Chocolate,Dr. Bronner's Magic Chocolate,PRODUCT,1,0.890,yes,low-confidence,
Dr. Bronner's,no,Dr. Bronner’s chocolate,Dr. Bronner’s chocolate,PRODUCT,1,0.889,yes,low-confidence,
Dr. Bronner's,no,Dr. Bronner’s Magic Soaps,Dr. Bronner’s Magic Soaps,PRODUCT,1,0.881,yes,low-confidence,
Dr. Bronner's,no,Dr. Cloninger,Dr. Cloninger,PERSON,1,0.877,no,type-mismatch,
Dr. Bronner's,no,Dr. Kloninger,Dr. Kloninger,PERSON,1,0.877,no,type-mismatch,
Dr. Bronner's,no,Dr. Braun,Dr. Braun,PERSON,1,0.863,no,type-mismatch,
Dr. Bronner's,no,Dr. Binder,Dr. Binder,PERSON,1,0.858,no,type-mismatch,
Dr. Bronner's,no,Doctor Bronner's,Doctor Bronner's,PRODUCT,2,0.852,yes,low-confidence,
Earth Coast Productions,no,Earth Coast Productions,Earth Coast Productions,ORGANIZATION,77,1.000,yes,auto-flag,accept
Earth Coast Productions,no,earth coast productions,earth coast productions,ORGANIZATION,1,1.000,yes,auto-flag,accept
Earth Coast Productions,no,Earthcoast Productions,Earthcoast Productions,ORGANIZATION,2,0.964,yes,auto-flag,
Earth Coast Productions,no,EarthCost Productions,EarthCost Productions,ORGANIZATION,1,0.964,yes,auto-flag,
Earth Coast Productions,no,Earth Coase Productions,Earth Coase Productions,ORGANIZATION,2,0.946,yes,auto-flag,
Earth Coast Productions,no,Earth Restoration Corps,Earth Restoration Corps,ORGANIZATION,1,0.898,yes,low-confidence,
Earth Coast Productions,no,Earth Coast,Earth Coast,ORGANIZATION,2,0.896,yes,low-confidence,
Earth Coast Productions,no,Earth’s Restoration Corps,Earth’s Restoration Corps,ORGANIZATION,1,0.874,yes,low-confidence,
Earth Coast Productions,no,Earth Cups,Earth Cups,ORGANIZATION,1,0.867,yes,low-confidence,
Earth Coast Productions,no,Earth Stewards,Earth Stewards,CONCEPT,1,0.859,no,type-mismatch,
Earth Coast Productions,no,Earth Uprising,Earth Uprising,ORGANIZATION,2,0.859,yes,low-confidence,
Earth Coast Productions,no,Earth Guardians,Earth Guardians,ORGANIZATION,2,0.856,yes,low-confidence,
Earth Coast Productions,no,Earth Restoration,Earth Restoration,CONCEPT,1,0.854,no,type-mismatch,
Earth Coast Productions,no,Earth Water Press,Earth Water Press,ORGANIZATION,17,0.851,yes,low-confidence,
Earth Coast Productions,no,earth water press,earth water press,ORGANIZATION,1,0.851,yes,low-confidence,
Earth Water Press,yes,Earth Water Press,Earth Water Press,ORGANIZATION,17,1.000,yes,auto-flag,accept
Earth Water Press,yes,earth water press,earth water press,ORGANIZATION,1,1.000,yes,auto-flag,accept
Earth Water Press,yes,Earthwaterpress,Earthwaterpress,ORGANIZATION,1,0.976,yes,auto-flag,
Earth Water Press,yes,Earthwater Press,Earthwater Press,ORGANIZATION,14,0.951,yes,auto-flag,
Earth Water Press,yes,Earth Repair,Earth Repair,CONCEPT,1,0.895,no,type-mismatch,
Earth Water Press,yes,Earth Here,Earth Here,ORGANIZATION,1,0.886,yes,low-confidence,
Earth Water Press,yes,Earth Heroes,Earth Heroes,ORGANIZATION,3,0.884,yes,low-confidence,
Earth Water Press,yes,Earth Stewards,Earth Stewards,CONCEPT,1,0.879,no,type-mismatch,
Earth Water Press,yes,Earth Whispers,Earth Whispers,CONCEPT,1,0.879,no,type-mismatch,
Earth Water Press,yes,Earth Law Center,Earth Law Center,ORGANIZATION,1,0.869,yes,low-confidence,
Earth Water Press,yes,Earth,Earth,PLACE,7,0.859,no,type-mismatch,
Earth Water Press,yes,earth,earth,PLACE,1,0.859,no,type-mismatch,
Earth Water Press,yes,Earth Coase Productions,Earth Coase Productions,ORGANIZATION,2,0.858,yes,low-confidence,
Earth Water Press,yes,Earth Day Texas,Earth Day Texas,EVENT,1,0.858,no,type-mismatch,
Earth Water Press,yes,Earth Hero,Earth Hero,ORGANIZATION,37,0.854,yes,low-confidence,
Earth Water Press,yes,Earthworms,Earthworms,SPECIES,4,0.854,no,type-mismatch,
Earth Water Press,yes,Earth Restoration Corps,Earth Restoration Corps,ORGANIZATION,1,0.854,yes,low-confidence,
Earth Water Press,yes,earthworms,earthworms,SPECIES,1,0.854,no,type-mismatch,
Earth Water Press,yes,Earth Cups,Earth Cups,ORGANIZATION,1,0.854,yes,low-confidence,
Earth Water Press,yes,earth hero,earth hero,ORGANIZATION,1,0.854,yes,low-confidence,
Earth Water Press,yes,Earth Coast Productions,Earth Coast Productions,ORGANIZATION,77,0.851,yes,low-confidence,
Earth Water Press,yes,Earth Systems,Earth Systems,CONCEPT,1,0.851,no,type-mismatch,
Earth Water Press,yes,earth coast productions,earth coast productions,ORGANIZATION,1,0.851,yes,low-confidence,
Ecoversity,no,Ecoversity,Ecoversity,ORGANIZATION,2,1.000,yes,auto-flag,accept
Ecoversity,no,Eco-versity,Eco-versity,ORGANIZATION,1,0.979,yes,auto-flag,
Ecoversity,no,ECOVERCITY,ECOVERCITY,ORGANIZATION,1,0.960,yes,auto-flag,
Ecoversity,no,ecoversity.org,ecoversity.org,ORGANIZATION,1,0.943,yes,auto-flag,
Ecoversity,no,Egoversity,Egoversity,ORGANIZATION,1,0.940,yes,auto-flag,
Edaphic Solutions,no,Edaphic Solutions,Edaphic Solutions,ORGANIZATION,2,1.000,yes,auto-flag,accept
Edaphic Solutions,no,Edafic Solutions,Edafic Solutions,ORGANIZATION,1,0.958,yes,auto-flag,
Edaphic Solutions,no,Edafiq Solutions,Edafiq Solutions,ORGANIZATION,1,0.930,yes,auto-flag,
Edaphic Solutions,no,Edaphxolutions,Edaphxolutions,ORGANIZATION,1,0.877,yes,low-confidence,
Equal Exchange,no,Equal Exchange,Equal Exchange,ORGANIZATION,10,1.000,yes,auto-flag,accept
Equal Exchange,no,equal exchange,equal exchange,CONCEPT,1,1.000,no,type-mismatch,
Equal Exchange,no,Equal Exchange Cooperative,Equal Exchange Cooperative,ORGANIZATION,1,0.908,yes,low-confidence,
Gaia AI,no,Gaia,Gaia,CONCEPT,3,0.914,no,type-mismatch,
Gaia AI,no,Gaia TV,Gaia TV,ORGANIZATION,1,0.886,yes,low-confidence,
Growing Spaces,no,Growing Spaces,Growing Spaces,ORGANIZATION,29,1.000,yes,auto-flag,accept
Growing Spaces,no,growing spaces,growing spaces,ORGANIZATION,1,1.000,yes,auto-flag,accept
Growing Spaces,no,Green Spaces,Green Spaces,PLACE,1,0.879,no,type-mismatch,
Growing Spaces,no,green spaces,green spaces,ECOSYSTEM,1,0.879,no,type-mismatch,
Growing Spaces,no,Growing Dome,Growing Dome,PRODUCT,2,0.879,yes,low-confidence,
Growing Spaces,no,Growing Zones,Growing Zones,CONCEPT,1,0.877,no,type-mismatch,
Growing Spaces,no,Growing Domes,Growing Domes,PRODUCT,1,0.877,yes,low-confidence,
Growing Spaces,no,green space,green space,CONCEPT,1,0.856,no,type-mismatch,
Growing Spaces,no,Growing Dome Enthusiasts,Growing Dome Enthusiasts,ORGANIZATION,1,0.855,yes,low-confidence,
International Society of Sustainability Professionals,no,International Society of Sustainability Professionals,International Society of Sustainability Professionals,ORGANIZATION,16,1.000,yes,auto-flag,accept
International Society of Sustainability Professionals,no,International Society of Sustainability Professionals (ISSP),International Society of Sustainability Professionals (ISSP),ORGANIZATION,1,0.977,yes,auto-flag,
International Society of Sustainability Professionals,no,International Institute of Sustainability Professionals,International Institute of Sustainability Professionals,ORGANIZATION,1,0.910,yes,low-confidence,
International Society of Sustainability Professionals,no,International Association of Sufism,International Association of Sufism,ORGANIZATION,1,0.870,yes,low-confidence,
International Society of Sustainability Professionals,no,International Stability,International Stability,CONCEPT,1,0.861,no,type-mismatch,
International Society of Sustainability Professionals,no,International Law Section of the American Bar Association,International Law Section of the American Bar Association,ORGANIZATION,1,0.857,yes,low-confidence,
International Society of Sustainability Professionals,no,International Renaissance Foundation,International Renaissance Foundation,ORGANIZATION,1,0.855,yes,low-confidence,
International Society of Sustainability Professionals,no,International Day of Non Violence,International Day of Non Violence,EVENT,1,0.855,no,type-mismatch,
International Society of Sustainability Professionals,no,International Biodynamic Association,International Biodynamic Association,ORGANIZATION,1,0.853,yes,low-confidence,
International Society of Sustainability Professionals,no,International Climate Strike,International Climate Strike,EVENT,1,0.853,no,type-mismatch,
International Society of Sustainability Professionals,no,International Church of Cannabis,International Church of Cannabis,ORGANIZATION,1,0.852,yes,low-confidence,
Josephine Porter Institute,no,Josephine Porter Institute,Josephine Porter Institute,ORGANIZATION,3,1.000,yes,auto-flag,accept
Josephine Porter Institute,no,Josephine Porter Institute for Biodynamics,Josephine Porter Institute for Biodynamics,ORGANIZATION,1,0.924,yes,auto-flag,
Josephine Porter Institute,no,Josephine Porter Institute for Applied Biodynamics,Josephine Porter Institute for Applied Biodynamics,ORGANIZATION,1,0.904,yes,low-confidence,
Liquid Trainer,no,Liquid Trainer,Liquid Trainer,PRODUCT,15,1.000,yes,auto-flag,accept
Liquid Trainer,no,Liquid Veriditas Green,Liquid Veriditas Green,PRODUCT,1,0.884,yes,low-confidence,
Liquid Trainer,no,liquid carbon,liquid carbon,CONCEPT,1,0.877,no,type-mismatch,
Liquid Trainer,no,Liquidity Event,Liquidity Event,CONCEPT,1,0.867,no,type-mismatch,
Liquid Trainer,no,Liquid Soap,Liquid Soap,PRODUCT,1,0.860,yes,low-confidence,
Organic India,no,Organic India,Organic India,ORGANIZATION,4,1.000,yes,auto-flag,accept
Organic India,no,Organic India USA,Organic India USA,ORGANIZATION,1,0.953,yes,auto-flag,
Organic India,no,Organic Ingredients,Organic Ingredients,CONCEPT,1,0.911,no,type-mismatch,
Organic India,no,Organic Vineyards,Organic Vineyards,PLACE,1,0.909,no,type-mismatch,
Organic India,no,organic,organic,CONCEPT,3,0.908,no,type-mismatch,
Organic India,no,Organic,Organic,CONCEPT,3,0.908,no,type-mismatch,
Organic India,no,organic brands,organic brands,PRODUCT,1,0.908,yes,low-confidence,
Organic India,no,Organic Diet,Organic Diet,CONCEPT,1,0.901,no,type-mismatch,
Organic India,no,organic integrity,organic integrity,CONCEPT,1,0.899,no,type-mismatch,
Organic India,no,Organic Farming,Organic Farming,PRACTICE,10,0.898,no,type-mismatch,
Organic India,no,organic farming,organic farming,PRACTICE,2,0.898,no,type-mismatch,
Organic India,no,Organic Auditors,Organic Auditors,PERSON,1,0.889,no,type-mismatch,
Organic India,no,Organic Food,Organic Food,CONCEPT,4,0.888,no,type-mismatch,
Organic India,no,organic food,organic food,CONCEPT,2,0.888,no,type-mismatch,
Organic India,no,Organic Seed,Organic Seed,PRODUCT,1,0.888,yes,low-confidence,
Organic India,no,Organic Seal,Organic Seal,CONCEPT,1,0.888,no,type-mismatch,
Organic India,no,Organic Milk,Organic Milk,PRODUCT,1,0.888,yes,low-confidence,
Organic India,no,Organic Standards,Organic Standards,CONCEPT,2,0.880,no,type-mismatch,
Organic India,no,Organic Manifesto,Organic Manifesto,PRODUCT,1,0.880,yes,low-confidence,
Organic India,no,Organic Expansion,Organic Expansion,PRACTICE,1,0.880,no,type-mismatch,
Organic India,no,Organic Residues,Organic Residues,CONCEPT,1,0.879,no,type-mismatch,
Organic India,no,organic bio-dynamic food,organic bio-dynamic food,PRODUCT,1,0.878,yes,low-confidence,
Organic India,no,organic banana,organic banana,PRODUCT,1,0.877,yes,low-confidence,
Organic India,no,Organic Foods,Organic Foods,CONCEPT,1,0.877,no,type-mismatch,
Organic India,no,Organic Certification,Organic Certification,CONCEPT,2,0.874,no,type-mismatch,
Organic India,no,Organic Pesticides,Organic Pesticides,PRODUCT,1,0.873,yes,low-confidence,
Organic India,no,Organic Leadership,Organic Leadership,CONCEPT,1,0.873,no,type-mismatch,
Organic India,no,Organic Herbal Medicine,Organic Herbal Medicine,CONCEPT,1,0.872,no,type-mismatch,
Organic India,no,Organic Cotton,Organic Cotton,CONCEPT,1,0.867,no,type-mismatch,
Organic India,no,organic cotton,organic cotton,PRODUCT,1,0.867,yes,low-confidence,
Organic India,no,Organic Matter,Organic Matter,CONCEPT,1,0.867,no,type-mismatch,
Organic India,no,Organic Apples,Organic Apples,PRODUCT,1,0.867,yes,low-confidence,
Organic India,no,Organic Fertilizers,Organic Fertilizers,PRODUCT,1,0.859,yes,low-confidence,
Organic India,no,Organic Cotton Hats,Organic Cotton Hats,PRODUCT,1,0.859,yes,low-confidence,
Organic India,no,Organic Produce,Organic Produce,PRODUCT,1,0.858,yes,low-confidence,
Organic India,no,organic turf,organic turf,PRODUCT,1,0.856,yes,low-confidence,
Organic India,no,Organic No-Till Farming,Organic No-Till Farming,CONCEPT,1,0.856,no,type-mismatch,
Organic India,no,Organic Lawn Care,Organic Lawn Care,PRACTICE,1,0.851,no,type-mismatch,
Organic India,no,organic practices,organic practices,PRACTICE,2,0.851,no,type-mismatch,
Organic India,no,Organic Movement,Organic Movement,CONCEPT,1,0.851,no,type-mismatch,
Organic India,no,Organic practices,Organic practices,PRACTICE,1,0.851,no,type-mismatch,
Organic India,no,Organic Fruits and Vegetables,Organic Fruits and Vegetables,PRODUCT,1,0.851,yes,low-confidence,
Organic India,no,Organic Practices,Organic Practices,PRACTICE,1,0.851,no,type-mismatch,
Organic India,no,organic products,organic products,PRODUCT,1,0.851,yes,low-confidence,
Organic India,no,Organic Hot Ones,Organic Hot Ones,PRODUCT,1,0.851,yes,low-confidence,
Patagonia,no,Patagonia,Patagonia,ORGANIZATION,59,1.000,yes,auto-flag,accept
Patagonia,no,Patagonia Ecosystem,Patagonia Ecosystem,ORGANIZATION,2,0.895,yes,low-confidence,
Patagonia,no,Patagonia Provisions,Patagonia Provisions,PRODUCT,1,0.890,yes,low-confidence,
Patagonia,no,Adagonia,Adagonia,ORGANIZATION,1,0.884,yes,low-confidence,
Patagonia,no,Patanjali,Patanjali,PERSON,1,0.883,no,type-mismatch,
Patagonia,no,Patagonia Solar System,Patagonia Solar System,CONCEPT,1,0.882,no,type-mismatch,
Patagonia,no,Patagonia’s Home Planet Fund,Patagonia’s Home Planet Fund,ORGANIZATION,2,0.864,yes,low-confidence,
Patagonia Provisions,no,Patagonia Provisions,Patagonia Provisions,PRODUCT,1,1.000,yes,auto-flag,accept
Patagonia Provisions,no,Patagonia,Patagonia,ORGANIZATION,59,0.890,yes,low-confidence,
Patagonia Provisions,no,Patagonia Ecosystem,Patagonia Ecosystem,ORGANIZATION,2,0.867,yes,low-confidence,
Patagonia Provisions,no,Patagonia Solar System,Patagonia Solar System,CONCEPT,1,0.853,no,type-mismatch,
Patagonia's Home Planet Fund,no,Patagonia’s Home Planet Fund,Patagonia’s Home Planet Fund,ORGANIZATION,2,0.986,yes,auto-flag,
Patagonia's Home Planet Fund,no,Patagonia,Patagonia,ORGANIZATION,59,0.864,yes,low-confidence,
Patagonia's Home Planet Fund,no,Patagonia Solar System,Patagonia Solar System,CONCEPT,1,0.859,no,type-mismatch,
Patagonia's Home Planet Fund,no,Patagonia Ecosystem,Patagonia Ecosystem,ORGANIZATION,2,0.858,yes,low-confidence,
Profitable Purpose Consulting,no,Profitable Purpose Consulting,Profitable Purpose Consulting,ORGANIZATION,19,1.000,yes,auto-flag,accept
Purium,no,Purium,Purium,ORGANIZATION,66,1.000,yes,auto-flag,accept
Purium,no,Purim,Purim,ORGANIZATION,5,0.967,yes,auto-flag,
Purium,no,Puriam,Puriam,ORGANIZATION,3,0.933,yes,auto-flag,
Purium,no,Curium,Curium,ORGANIZATION,1,0.889,yes,low-confidence,
Regenerative World Quest,no,Regenerative Work,Regenerative Work,CONCEPT,1,0.922,no,type-mismatch,
Regenerative World Quest,no,regenerative work,regenerative work,CONCEPT,2,0.922,no,type-mismatch,
Regenerative World Quest,no,Regenerative Products,Regenerative Products,PRODUCT,1,0.918,yes,low-confidence,
Regenerative World Quest,no,Regenerative Culture,Regenerative Culture,CONCEPT,1,0.908,no,type-mismatch,
Regenerative World Quest,no,regenerative efforts,regenerative efforts,CONCEPT,1,0.908,no,type-mismatch,
Regenerative World Quest,no,Regenerative Process,Regenerative Process,CONCEPT,1,0.900,no,type-mismatch,
Regenerative World Quest,no,regenerative projects,regenerative projects,CONCEPT,1,0.899,no,type-mismatch,
Regenerative World Quest,no,Regenerative Earth,Regenerative Earth,ORGANIZATION,1,0.899,yes,low-confidence,
Regenerative World Quest,no,Regenerative Organic Model,Regenerative Organic Model,CONCEPT,1,0.894,no,type-mismatch,
Regenerative World Quest,no,Regenerative Farms,Regenerative Farms,CONCEPT,1,0.892,no,type-mismatch,
Regenerative World Quest,no,Regenerative Land Stewardship,Regenerative Land Stewardship,PRACTICE,1,0.891,no,type-mismatch,
Regenerative World Quest,no,Regenerative Communities,Regenerative Communities,CONCEPT,1,0.889,no,type-mismatch,
Regenerative World Quest,no,Regenerative Relationship,Regenerative Relationship,CONCEPT,1,0.889,no,type-mismatch,
Regenerative World Quest,no,Regenerative Earth Summit,Regenerative Earth Summit,EVENT,1,0.889,no,type-mismatch,
Regenerative World Quest,no,Regenerative Health,Regenerative Health,CONCEPT,1,0.889,no,type-mismatch,
Regenerative World Quest,no,regenerative communities,regenerative communities,CONCEPT,1,0.889,no,type-mismatch,
Regenerative World Quest,no,Regenerative Movement,Regenerative Movement,CONCEPT,2,0.886,no,type-mismatch,
Regenerative World Quest,no,regenerative movement,regenerative movement,CONCEPT,1,0.886,no,type-mismatch,
Regenerative World Quest,no,Regenerative Stewardship,Regenerative Stewardship,PRACTICE,2,0.885,no,type-mismatch,
Regenerative World Quest,no,regenerative stewardship,regenerative stewardship,CONCEPT,2,0.885,no,type-mismatch,
Regenerative World Quest,no,Regenerative Practices,Regenerative Practices,PRACTICE,6,0.884,no,type-mismatch,
Regenerative World Quest,no,Regenerative Movements,Regenerative Movements,CONCEPT,1,0.884,no,type-mismatch,
Regenerative World Quest,no,regenerative practices,regenerative practices,CONCEPT,3,0.884,no,type-mismatch,
Regenerative World Quest,no,Regenerative Organic Product,Regenerative Organic Product,CONCEPT,1,0.884,no,type-mismatch,
Regenerative World Quest,no,Regenerated World,Regenerated World,CONCEPT,1,0.884,no,type-mismatch,
Regenerative World Quest,no,Regenerative Rising,Regenerative Rising,ORGANIZATION,2,0.883,yes,low-confidence,
Regenerative World Quest,no,Regenerative Systems,Regenerative Systems,CONCEPT,2,0.881,no,type-mismatch,
Regenerative World Quest,no,Regenerative Farm,Regenerative Farm,PRACTICE,1,0.881,no,type-mismatch,
Regenerative World Quest,no,regenerative farm,regenerative farm,CONCEPT,1,0.881,no,type-mismatch,
Regenerative World Quest,no,Regenerative Agriculture,Regenerative Agriculture,CONCEPT,35,0.878,no,type-mismatch,
Regenerative World Quest,no,regenerative agriculture,regenerative agriculture,CONCEPT,11,0.878,no,type-mismatch,
Regenerative World Quest,no,regeneration codes,regeneration codes,CONCEPT,1,0.878,no,type-mismatch,
Regenerative World Quest,no,Regeneration,Regeneration,CONCEPT,12,0.875,no,type-mismatch,
Regenerative World Quest,no,regenerative organic,regenerative organic,CONCEPT,2,0.875,no,type-mismatch,
Regenerative World Quest,no,Regenerative Organic,Regenerative Organic,CONCEPT,3,0.875,no,type-mismatch,
Regenerative World Quest,no,regeneration,regeneration,CONCEPT,5,0.875,no,type-mismatch,
Regenerative World Quest,no,regenerative organic movement,regenerative organic movement,CONCEPT,1,0.874,no,type-mismatch,
Regenerative World Quest,no,Regenerative Economic Models,Regenerative Economic Models,CONCEPT,1,0.873,no,type-mismatch,
Regenerative World Quest,no,Regenerative Practice,Regenerative Practice,CONCEPT,1,0.873,no,type-mismatch,
Regenerative World Quest,no,Regeneratively Raised Beef,Regeneratively Raised Beef,PRODUCT,1,0.873,yes,low-confidence,
Regenerative World Quest,no,Regenerative Organic Agriculture,Regenerative Organic Agriculture,CONCEPT,2,0.872,no,type-mismatch,
Regenerative World Quest,no,regenerative farm community,regenerative farm community,CONCEPT,1,0.872,no,type-mismatch,
Regenerative World Quest,no,regenerative grass fed beef,regenerative grass fed beef,PRODUCT,1,0.872,yes,low-confidence,
Regenerative World Quest,no,Regenerative Economy Lab,Regenerative Economy Lab,ORGANIZATION,1,0.872,yes,low-confidence,
Regenerative World Quest,no,Regenerative organic agriculture,Regenerative organic agriculture,CONCEPT,1,0.872,no,type-mismatch,
Regenerative World Quest,no,regenerative purchasing policies,regenerative purchasing policies,PRACTICE,1,0.872,no,type-mismatch,
Regenerative World Quest,no,regenerative organic agriculture,regenerative organic agriculture,CONCEPT,1,0.872,no,type-mismatch,
Regenerative World Quest,no,regenerativeerf.org,regenerativeerf.org,ORGANIZATION,1,0.870,yes,low-confidence,
Regenerative World Quest,no,Regenerative Alliance,Regenerative Alliance,ORGANIZATION,1,0.868,yes,low-confidence,
Regenerative World Quest,no,Regenerative Renaissance,Regenerative Renaissance,CONCEPT,2,0.867,no,type-mismatch,
